# Weather station Townsville (airport), Australia, WMO_ID=94294,selection from 01.01.2018 till 30.06.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=94294&lang=en
#
"Local time in Townsville (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.06.2019 23:00";"18.8";"763.6";"";"";"78";"Wind blowing from the south-east";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.06.2019 22:00";"17.7";"763.9";"764.2";"0.9";"90";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.0";"";"";"";"";"";"";
"30.06.2019 21:00";"18.4";"763.7";"764.1";"1.4";"85";"Wind blowing from the west";"2";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"15.9";"No precipitation";"6";"";"";"";"";
"30.06.2019 19:00";"20.0";"763.0";"763.3";"1.4";"79";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"30.06.2019 18:00";"21.2";"762.3";"762.7";"0.8";"76";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.8";"";"";"";"";"";"";
"30.06.2019 17:00";"26.7";"761.8";"";"";"66";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.06.2019 16:00";"24.1";"761.6";"762.0";"-1.2";"59";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.6";"";"";"";"";"";"";
"30.06.2019 15:00";"27.2";"761.5";"761.9";"-2.1";"26";"Wind blowing from the south-southeast";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"6.1";"No precipitation";"6";"";"";"";"";
"30.06.2019 13:00";"26.0";"762.8";"763.2";"-2.1";"36";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.9";"";"";"";"";"";"";
"30.06.2019 12:00";"25.4";"763.6";"764.0";"-1.5";"35";"Wind blowing from the south";"5";"";"";"";" ";"";"";"12.3";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
"30.06.2019 11:00";"20.1";"764.2";"";"";"42";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.06.2019 10:00";"23.4";"764.9";"765.3";"0.5";"46";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.2";"";"";"";"";"";"";
"30.06.2019 09:00";"20.2";"765.1";"765.4";"1.0";"63";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"No precipitation";"24";"";"";"";"";
"30.06.2019 07:00";"13.2";"764.4";"764.8";"0.6";"96";"Wind blowing from the south-west";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"";"";"";"";"";"";
"30.06.2019 06:00";"14.3";"764.1";"764.5";"0.3";"94";"Wind blowing from the south";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"";"";"";"";"";"";
"30.06.2019 05:00";"15.2";"763.5";"";"";"88";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"30.06.2019 04:00";"14.6";"763.8";"764.2";"-0.3";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"30.06.2019 03:00";"14.7";"763.8";"764.2";"-0.4";"94";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.8";"No precipitation";"6";"";"";"";"";
"30.06.2019 01:00";"15.5";"764.1";"764.5";"-0.6";"93";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.4";"";"";"";"";"";"";
"30.06.2019 00:00";"15.9";"764.2";"764.6";"-0.3";"94";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"26.6";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"29.06.2019 23:00";"19.5";"764.4";"";"";"79";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.06.2019 22:00";"17.0";"764.7";"765.1";"0.8";"88";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"29.06.2019 21:00";"18.8";"764.5";"764.9";"1.1";"80";"Wind blowing from the south";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 19:00";"19.9";"763.9";"764.3";"0.9";"75";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.3";"";"";"";"";"";"";
"29.06.2019 18:00";"21.0";"763.4";"763.8";"0.2";"71";"Wind blowing from the east";"4";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"15.6";"";"";"";"";"";"";
"29.06.2019 17:00";"23.7";"763.1";"";"";"61";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.06.2019 16:00";"23.8";"763.0";"763.4";"-1.4";"58";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"29.06.2019 15:00";"24.7";"763.2";"763.6";"-1.9";"52";"Wind blowing from the east-northeast";"9";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"14.2";"No precipitation";"6";"";"";"";"";
"29.06.2019 13:00";"24.8";"764.4";"764.8";"-1.7";"51";"Wind blowing from the east-northeast";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.1";"";"";"";"";"";"";
"29.06.2019 12:00";"25.3";"765.1";"765.4";"-0.9";"46";"Wind blowing from the east";"6";"";"";"";" ";"";"";"19.6";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"29.06.2019 11:00";"22.6";"765.8";"";"";"53";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.06.2019 10:00";"24.3";"766.1";"766.5";"0.5";"49";"Wind blowing from the south-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"29.06.2019 09:00";"22.8";"766.0";"766.4";"0.9";"56";"Wind blowing from the south-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.4";"No precipitation";"24";"";"";"";"";
"29.06.2019 07:00";"20.2";"765.6";"766.0";"1.1";"66";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.7";"";"";"";"";"";"";
"29.06.2019 06:00";"20.7";"765.1";"765.5";"0.8";"66";"Wind blowing from the south-southeast";"5";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"14.1";"";"";"";"";"";"";
"29.06.2019 05:00";"20.7";"764.5";"";"";"66";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"29.06.2019 04:00";"21.0";"764.5";"764.8";"-0.3";"67";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"29.06.2019 03:00";"20.5";"764.3";"764.7";"-0.6";"70";"Wind blowing from the south-southeast";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"600-1000";"";"";"";"14.7";"No precipitation";"6";"";"";"";"";
"29.06.2019 01:00";"20.3";"764.8";"765.2";"-0.3";"74";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"29.06.2019 00:00";"21.0";"764.9";"765.3";"-0.2";"70";"Wind blowing from the south-southeast";"5";"";"";"60%.";" ";"";"";"";"26.1";"";"";"600-1000";"";"";"";"15.4";"";"";"";"";"";"";
"28.06.2019 23:00";"22.4";"765.0";"";"";"66";"Wind blowing from the south-southwest";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.06.2019 22:00";"22.2";"765.1";"765.5";"0.9";"66";"Wind blowing from the south-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"28.06.2019 21:00";"22.4";"765.1";"765.5";"1.5";"65";"Wind blowing from the east-southeast";"7";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"15.5";"No precipitation";"6";"";"";"";"";
"28.06.2019 19:00";"22.9";"764.2";"764.6";"1.2";"66";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"28.06.2019 18:00";"23.1";"763.6";"763.9";"0.6";"67";"Wind blowing from the east";"8";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"16.5";"";"";"";"";"";"";
"28.06.2019 17:00";"24.8";"763.2";"";"";"61";"Wind blowing from the south";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.06.2019 16:00";"24.7";"763.0";"763.4";"-0.8";"59";"Wind blowing from the east";"8";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"28.06.2019 15:00";"24.9";"763.0";"763.4";"-1.4";"56";"Wind blowing from the east-southeast";"10";"";"";"100%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"";"15.6";"No precipitation";"6";"";"";"";"";
"28.06.2019 13:00";"25.2";"763.8";"764.2";"-1.6";"51";"Wind blowing from the east-southeast";"11";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"28.06.2019 12:00";"25.6";"764.4";"764.8";"-0.6";"54";"Wind blowing from the east";"9";"";"";"100%.";" ";"";"";"17.9";"";"";"";"600-1000";"";"";"";"15.5";"";"";"";"";"";"";
"28.06.2019 11:00";"23.1";"765.1";"";"";"59";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.06.2019 10:00";"23.5";"765.4";"765.7";"1.2";"65";"Wind blowing from the east-southeast";"10";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"28.06.2019 09:00";"23.3";"765.0";"765.4";"1.4";"71";"Wind blowing from the south-southeast";"5";"";"";"100%.";" ";"Precipitation";"Precipitation";"";"";"";"";"600-1000";"";"";"";"17.7";"0.8";"24";"";"";"";"";
"28.06.2019 07:00";"20.9";"764.2";"764.5";"0.8";"83";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"17.8";"";"";"";"";"";"";
"28.06.2019 06:00";"20.4";"763.6";"764.0";"0.0";"86";"Wind blowing from the south-east";"4";"";"";"100%.";" ";"";"Precipitation";"";"";"";"";"600-1000";"";"";"";"18.0";"";"";"";"";"";"";
"28.06.2019 05:00";"20.1";"763.4";"";"";"83";"Wind blowing from the south-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28.06.2019 04:00";"19.9";"763.4";"763.8";"-0.9";"92";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.6";"";"";"";"";"";"";
"28.06.2019 03:00";"19.9";"763.6";"764.0";"-1.1";"95";"Wind blowing from the south-southeast";"3";"";"";"100%.";"Precipitation ";"Precipitation";"Precipitation";"";"";"";"";"300-600";"";"";"8.0";"19.1";"0.6";"6";"";"";"";"";
"28.06.2019 01:00";"20.5";"764.3";"764.7";"-1.0";"91";"Wind blowing from the south-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"18.9";"";"";"";"";"";"";
"28.06.2019 00:00";"20.3";"764.7";"765.1";"-0.5";"87";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"";"25.5";"";"";"300-600";"";"";"6.0";"18.0";"";"";"";"";"";"";
"27.06.2019 23:00";"19.5";"764.7";"";"";"79";"Wind blowing from the north-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.06.2019 22:00";"19.2";"765.3";"765.7";"0.9";"81";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.8";"";"";"";"";"";"";
"27.06.2019 21:00";"19.2";"765.2";"765.6";"1.3";"82";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"16.0";"No precipitation";"6";"";"";"";"";
"27.06.2019 19:00";"19.1";"764.4";"764.8";"1.4";"83";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"27.06.2019 18:00";"21.1";"763.9";"764.3";"0.9";"76";"Wind blowing from the north-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.6";"";"";"";"";"";"";
"27.06.2019 17:00";"23.3";"763.3";"";"";"64";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.06.2019 16:00";"24.0";"763.0";"763.3";"-0.7";"59";"Wind blowing from the east-northeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.5";"";"";"";"";"";"";
"27.06.2019 15:00";"24.6";"763.0";"763.4";"-1.6";"54";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"No precipitation";"6";"";"";"";"";
"27.06.2019 13:00";"24.4";"763.7";"764.1";"-1.9";"51";"Wind blowing from the north-east";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"27.06.2019 12:00";"25.1";"764.6";"765.0";"-0.8";"46";"Wind blowing from the north-east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"27.06.2019 11:00";"21.5";"765.3";"";"";"50";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.06.2019 10:00";"22.9";"765.6";"766.0";"0.9";"52";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.5";"";"";"";"";"";"";
"27.06.2019 09:00";"21.9";"765.4";"765.8";"1.2";"57";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.9";"";"";"";"";"";"";
"27.06.2019 07:00";"17.5";"764.7";"765.1";"0.7";"74";"Wind blowing from the south-southeast";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"27.06.2019 06:00";"18.6";"764.2";"764.6";"0.1";"68";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"12.5";"";"";"";"";"";"";
"27.06.2019 05:00";"20.6";"763.9";"";"";"63";"Wind blowing from the west-northwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.06.2019 04:00";"19.8";"764.0";"764.4";"-0.5";"66";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.3";"";"";"";"";"";"";
"27.06.2019 03:00";"20.3";"764.1";"764.5";"-0.5";"62";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"12.7";"No precipitation";"6";"";"";"";"";
"27.06.2019 01:00";"21.0";"764.5";"764.9";"0.0";"55";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"27.06.2019 00:00";"20.6";"764.6";"765.0";"0.1";"70";"Wind blowing from the east-southeast";"3";"";"";"100%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"";"14.8";"";"";"";"";"";"";
"26.06.2019 23:00";"21.5";"764.5";"";"";"66";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.06.2019 22:00";"21.5";"764.5";"764.9";"0.6";"68";"Wind blowing from the east-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.4";"";"";"";"";"";"";
"26.06.2019 21:00";"21.4";"764.5";"764.8";"1.1";"70";"Wind blowing from the east-southeast";"4";"";"";"100%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"";"15.7";"";"";"";"";"";"";
"26.06.2019 19:00";"21.9";"763.9";"764.2";"1.0";"70";"Wind blowing from the east";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.1";"";"";"";"";"";"";
"26.06.2019 18:00";"21.9";"763.4";"763.8";"";"65";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.1";"";"";"";"";"";"";
"26.06.2019 17:00";"23.6";"762.9";"";"";"63";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.06.2019 16:00";"23.5";"762.9";"763.3";"-0.5";"58";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"26.06.2019 15:00";"24.2";"";"";"";"45";"Wind blowing from the north-east";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"11.6";"";"";"";"";"";"";
"26.06.2019 13:00";"25.2";"763.4";"763.8";"-1.9";"38";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"26.06.2019 12:00";"24.5";"764.2";"764.5";"-1.2";"36";"Wind blowing from the east";"2";"";"";"100%.";"No significant weather observed. ";"";"";"12.6";"";"";"";"2000-2500";"";"";"";"8.6";"";"";"";"";"";"";
"26.06.2019 11:00";"20.0";"765.3";"";"";"43";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.06.2019 10:00";"21.5";"765.3";"765.7";"0.5";"41";"Wind blowing from the south-west";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"26.06.2019 09:00";"20.0";"765.4";"765.8";"1.0";"46";"Wind blowing from the south-west";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"7.9";"No precipitation";"24";"";"";"";"";
"26.06.2019 07:00";"14.9";"764.8";"765.2";"0.8";"69";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.2";"";"";"";"";"";"";
"26.06.2019 06:00";"13.3";"764.4";"764.8";"0.3";"78";"Wind blowing from the south";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"9.6";"";"";"";"";"";"";
"26.06.2019 05:00";"16.3";"764.4";"";"";"68";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.06.2019 04:00";"15.2";"764.0";"764.4";"-0.4";"70";"Wind blowing from the south-southwest";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.8";"";"";"";"";"";"";
"26.06.2019 03:00";"16.1";"764.1";"764.9";"-0.5";"69";"Wind blowing from the south-southwest";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"10.4";"No precipitation";"6";"";"";"";"";
"26.06.2019 01:00";"17.3";"764.4";"765.2";"-0.4";"85";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.7";"";"";"";"";"";"";
"26.06.2019 00:00";"17.8";"764.6";"765.4";"-0.3";"82";"Wind blowing from the south";"1";"";"";"60%.";"No significant weather observed. ";"";"";"";"26.1";"";"";"600-1000";"";"";"";"14.7";"";"";"";"";"";"";
"25.06.2019 23:00";"19.7";"765.1";"";"";"73";"Wind blowing from the south-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.06.2019 22:00";"19.1";"764.8";"765.6";"0.7";"76";"Wind blowing from the east-southeast";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.8";"";"";"";"";"";"";
"25.06.2019 21:00";"19.4";"764.9";"765.7";"1.4";"79";"Wind blowing from the east-southeast";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"15.7";"No precipitation";"6";"";"";"";"";
"25.06.2019 19:00";"20.3";"764.1";"764.9";"1.1";"76";"Wind blowing from the east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.9";"";"";"";"";"";"";
"25.06.2019 18:00";"20.1";"763.5";"764.3";"0.6";"73";"Wind blowing from the east";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"25.06.2019 17:00";"23.5";"763.4";"";"";"61";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.06.2019 16:00";"22.8";"763.0";"763.8";"-0.6";"61";"Wind blowing from the east-northeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"14.9";"";"";"";"";"";"";
"25.06.2019 15:00";"24.2";"762.9";"763.7";"-1.5";"54";"Wind blowing from the east-northeast";"7";"";"";"20–30%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"14.4";"No precipitation";"6";"";"";"";"";
"25.06.2019 13:00";"25.2";"763.6";"764.5";"-1.8";"41";"Wind blowing from the east-southeast";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"10.9";"";"";"";"";"";"";
"25.06.2019 12:00";"24.6";"764.4";"765.2";"-0.9";"43";"Wind blowing from the east-southeast";"7";"";"";"";"No significant weather observed. ";"";"";"14.3";"";"";"";"";"";"";"";"11.0";"";"";"";"";"";"";
"25.06.2019 11:00";"21.0";"765.4";"";"";"48";"Wind blowing from the south-west";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.06.2019 10:00";"22.8";"765.4";"766.2";"0.9";"48";"Wind blowing from the south-southeast";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.1";"";"";"";"";"";"";
"25.06.2019 09:00";"21.4";"765.3";"766.1";"1.3";"54";"Wind blowing from the south-southeast";"4";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"11.7";"No precipitation";"24";"";"";"";"";
"25.06.2019 07:00";"15.6";"764.5";"765.3";"0.6";"85";"Wind blowing from the south";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.1";"";"";"";"";"";"";
"25.06.2019 06:00";"14.8";"764.0";"764.8";"0.0";"88";"Calm, no wind";"0";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"25.06.2019 05:00";"16.9";"764.0";"";"";"80";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"25.06.2019 04:00";"14.8";"763.9";"764.7";"-0.6";"90";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.2";"";"";"";"";"";"";
"25.06.2019 03:00";"16.3";"764.0";"764.8";"-0.6";"83";"Wind blowing from the south-southeast";"3";"";"";"100%.";"No significant weather observed. ";"";"";"";"";"";"";"2000-2500";"";"";"";"13.3";"No precipitation";"6";"";"";"";"";
"25.06.2019 01:00";"17.3";"764.5";"765.3";"-0.2";"79";"Wind blowing from the south-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"13.6";"";"";"";"";"";"";
"25.06.2019 00:00";"17.9";"764.6";"765.4";"0.1";"81";"Wind blowing from the south-east";"4";"";"";"";"No significant weather observed. ";"";"";"";"26.6";"";"";"";"";"";"";"14.6";"";"";"";"";"";"";
"24.06.2019 23:00";"19.6";"764.9";"";"";"82";"Wind blowing from the north";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.06.2019 22:00";"18.4";"764.7";"765.5";"1.1";"87";"Wind blowing from the south-southeast";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"16.2";"";"";"";"";"";"";
"24.06.2019 21:00";"18.6";"764.5";"765.4";"1.6";"82";"Wind blowing from the east-southeast";"3";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"15.5";"No precipitation";"6";"";"";"";"";
"24.06.2019 19:00";"19.9";"763.6";"764.5";"1.8";"77";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"15.7";"";"";"";"";"";"";
"24.06.2019 18:00";"20.7";"762.9";"763.7";"1.2";"77";"Wind blowing from the east-northeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"16.4";"";"";"";"";"";"";
"24.06.2019 17:00";"24.4";"762.6";"";"";"53";"Wind blowing from the south-east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.06.2019 16:00";"24.5";"761.8";"762.7";"-0.7";"44";"Wind blowing from the north-east";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"11.3";"";"";"";"";"";"";
"24.06.2019 15:00";"25.0";"761.7";"762.5";"-1.5";"41";"Wind blowing from the east-northeast";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"10.9";"No precipitation";"6";"";"";"";"";
"24.06.2019 13:00";"25.5";"762.5";"763.3";"-1.4";"37";"Wind blowing from the east";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.7";"";"";"";"";"";"";
"24.06.2019 12:00";"24.8";"763.2";"764.0";"-0.7";"36";"Wind blowing from the east-southeast";"3";"";"";"";"No significant weather observed. ";"";"";"8.7";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";
"24.06.2019 11:00";"19.9";"764.1";"";"";"40";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"24.06.2019 10:00";"21.5";"763.9";"764.8";"0.9";"37";"Wind blowing from the south-southwest";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"24.06.2019 09:00";"20.1";"763.9";"764.8";"1.5";"38";"Wind blowing from the south-southwest";"5";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"5.1";"0.2";"24";"";"";"";"";
"24.06.2019 07:00";"11.0";"763.0";"763.9";"1.2";"74";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.5";"";"";"";"";"";"";
"24.06.2019 06:00";"10.5";"762.4";"763.2";"0.3";"74";"Wind blowing from the west-southwest";"1";"";"";"";"No significant weather observed. ";"";"";"";"";"";"";"";"";"";"";"6.0";"";"";"";"";"";"";
